Index,MaxBandwidth
0,200
1,200
2,200
3,200
4,200
5,200
6,200
7,200
8,200
9,200
10,200
11,200
12,200
13,200
14,200
15,200
16,200
17,200
18,200
19,200
20,200
21,200
22,200
23,200
24,200
25,200
26,200
27,200
28,200
29,200
30,200
31,200
32,200
33,200
34,200
35,200
36,328
37,328
38,328
39,328
40,328
41,328
42,328
43,328
44,328
45,328
46,328
47,328
48,328
49,328
50,328
51,328
52,328
53,328
54,328
55,328
56,328
57,328
58,328
59,328
60,328
61,328
62,328
63,328
64,328
65,328
66,328
67,328
68,328
69,328
70,328
71,328
72,328
73,328
74,328
75,328
76,328
77,280
78,280
79,280
80,280
81,280
82,280
83,280
84,280
85,280
86,280
87,280
88,280
89,434
90,434
91,434
92,434
93,434
94,434
95,434
96,434
97,434
98,434
99,434
100,434
101,434
102,434
103,556
104,556
105,556
106,556
107,556
108,556
109,556
110,556
111,556
112,556
113,556
114,556
115,556
116,556
117,556
118,556
119,556
120,556
121,556
122,556
123,556
124,556
125,556
126,556
127,556
128,556
129,36
130,36
131,36
132,769
133,769
134,769
135,769
136,769
137,769
138,769
139,769
140,769
141,769
142,769
143,769
144,769
145,769
146,769
147,769
148,682
149,682
150,682
151,682
152,682
153,682
154,682
155,682
156,682
157,682
158,682
159,682
160,682
161,682
162,682
163,682
164,682
165,682
166,682
167,656
168,656
169,656
170,656
171,656
172,656
173,656
174,656
175,656
176,656
177,656
178,656
179,656
180,656
181,656
182,656
183,656
184,656
185,656
186,656
187,656
188,656
189,656
190,656
191,656
192,656
193,656
194,656
195,656
196,656
197,656
198,656
199,656
200,656
201,656
202,656
203,656
204,656
205,656
206,656
207,656
208,656
209,656
210,656
211,656
212,656
213,656
214,656
215,656
216,656
217,656
218,656
219,656
220,656
221,656
222,656
223,656
224,656
225,656
226,656
227,195
228,195
229,195
230,195
231,963
232,963
233,963
234,963
235,963
236,963
237,963
238,963
239,963
240,963
241,963
242,963
243,963
244,963
245,963
246,963
247,963
248,963
249,963
250,963
251,963
252,963
253,963
254,963
255,963
256,963
257,963
258,555
259,555
260,555
261,555
262,633
263,633
264,633
265,633
266,633
267,633
268,633
269,633
270,633
271,633
272,633
273,633
274,633
275,633
276,633
277,633
278,633
279,633
280,249
281,249
282,249
283,249
284,741
285,741
286,741
287,741
288,741
289,741
290,741
291,741
292,741
293,741
294,741
295,741
296,741
297,741
298,741
299,741
300,741
301,741
302,741
303,741
304,741
305,741
306,741
307,741
308,741
309,741
310,741
311,741
312,990
313,990
314,990
315,990
316,990
317,990
318,990
319,990
320,990
321,990
322,990
323,990
324,990
325,990
326,990
327,990
328,990
329,990
330,990
331,990
332,990
333,990
334,990
335,990
336,990
337,990
338,990
339,953
340,953
341,953
342,46
343,46
344,46
345,46
346,46
347,46
348,46
349,46
350,46
351,46
352,46
353,46
354,46
355,46
356,46
357,46
358,46
359,46
360,46
361,46
362,46
363,46
364,46
365,46
366,34
367,34
368,34
369,829
370,829
371,829
372,829
373,829
374,829
375,829
376,829
377,829
378,829
379,829
380,829
381,829
382,829
383,829
384,277
385,277
386,277
387,277
388,277
389,277
390,277
391,277
392,277
393,277
394,277
395,277
396,277
397,277
398,277
399,277
400,277
401,277
402,277
403,277
404,277
405,277
406,277
407,277
408,277
409,277
410,277
411,277
412,277
413,277
414,277
415,277
416,277
417,277
418,277
419,277
420,277
421,277
422,277
423,277
424,277
425,277
426,277
427,277
428,277
429,277
430,277
431,277
432,277
433,277
434,277
435,277
436,277
437,277
438,267
439,267
440,705
441,705
442,705
443,705
444,705
445,705
446,705
447,705
448,705
449,705
450,705
451,705
452,705
453,705
454,705
455,705
456,705
457,705
458,705
459,705
460,705
461,705
462,705
463,705
464,705
465,705
466,705
467,705
468,705
469,705
470,705
471,705
472,705
473,705
474,705
